Years_relevant,Capacity,URL
1992.0,80290,https://en.wikipedia.org/wiki/Bills_Stadium
1993.0,80290,https://en.wikipedia.org/wiki/Bills_Stadium
1994.0,80290,https://en.wikipedia.org/wiki/Bills_Stadium
1995.0,80024,https://en.wikipedia.org/wiki/Bills_Stadium
1996.0,80024,https://en.wikipedia.org/wiki/Bills_Stadium
1997.0,80024,https://en.wikipedia.org/wiki/Bills_Stadium
1998.0,80024,https://en.wikipedia.org/wiki/Bills_Stadium
1999.0,75339,https://en.wikipedia.org/wiki/Bills_Stadium
2000.0,75339,https://en.wikipedia.org/wiki/Bills_Stadium
2001.0,73967,https://en.wikipedia.org/wiki/Bills_Stadium
2002.0,73967,https://en.wikipedia.org/wiki/Bills_Stadium
2003.0,73967,https://en.wikipedia.org/wiki/Bills_Stadium
2004.0,73967,https://en.wikipedia.org/wiki/Bills_Stadium
2005.0,73967,https://en.wikipedia.org/wiki/Bills_Stadium
2006.0,73967,https://en.wikipedia.org/wiki/Bills_Stadium
2007.0,73967,https://en.wikipedia.org/wiki/Bills_Stadium
2008.0,73079,https://en.wikipedia.org/wiki/Bills_Stadium
2009.0,73079,https://en.wikipedia.org/wiki/Bills_Stadium
2010.0,73079,https://en.wikipedia.org/wiki/Bills_Stadium
2011.0,73079,https://en.wikipedia.org/wiki/Bills_Stadium
2012.0,73079,https://en.wikipedia.org/wiki/Bills_Stadium
2013.0,73079,https://en.wikipedia.org/wiki/Bills_Stadium
2014.0,71857,https://en.wikipedia.org/wiki/Bills_Stadium
2015.0,71870,https://en.wikipedia.org/wiki/Bills_Stadium
2016.0,71608,https://en.wikipedia.org/wiki/Bills_Stadium
2017.0,71608,https://en.wikipedia.org/wiki/Bills_Stadium
2018.0,71608,https://en.wikipedia.org/wiki/Bills_Stadium
2019.0,71608,https://en.wikipedia.org/wiki/Bills_Stadium
2020.0,71608,https://en.wikipedia.org/wiki/Bills_Stadium
1992.0,73000,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
1993.0,74916,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
1994.0,74916,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
1995.0,74916,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
1996.0,74916,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
1997.0,74916,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
1998.0,75192,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
1999.0,75192,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2000.0,75192,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2001.0,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2002.0,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2003.0,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2004.0,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2005.0,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2006.0,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2007.0,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2008.0,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2009.0,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2010.0,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2011.0,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2012.0,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2013.0,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2014.0,75540,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2015.0,64767,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2016.0,64767,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2017.0,64767,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2018.0,64767,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2019.0,64767,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
2020.0,64767,https://en.wikipedia.org/wiki/Hard_Rock_Stadium
1992.0,60794,https://en.wikipedia.org/wiki/Foxboro_Stadium
1993.0,60794,https://en.wikipedia.org/wiki/Foxboro_Stadium
1994.0,60794,https://en.wikipedia.org/wiki/Foxboro_Stadium
1995.0,60292,https://en.wikipedia.org/wiki/Foxboro_Stadium
1996.0,60292,https://en.wikipedia.org/wiki/Foxboro_Stadium
1997.0,60292,https://en.wikipedia.org/wiki/Foxboro_Stadium
1998.0,60292,https://en.wikipedia.org/wiki/Foxboro_Stadium
1999.0,60292,https://en.wikipedia.org/wiki/Foxboro_Stadium
2000.0,60292,https://en.wikipedia.org/wiki/Foxboro_Stadium
2001.0,60292,https://en.wikipedia.org/wiki/Foxboro_Stadium
2002.0,60292,https://en.wikipedia.org/wiki/Foxboro_Stadium
1992.0,77311,https://en.wikipedia.org/wiki/Giants_Stadium
1993.0,77311,https://en.wikipedia.org/wiki/Giants_Stadium
1994.0,77121,https://en.wikipedia.org/wiki/Giants_Stadium
1995.0,78148,https://en.wikipedia.org/wiki/Giants_Stadium
1996.0,78148,https://en.wikipedia.org/wiki/Giants_Stadium
1997.0,78148,https://en.wikipedia.org/wiki/Giants_Stadium
1998.0,78148,https://en.wikipedia.org/wiki/Giants_Stadium
1999.0,79469,https://en.wikipedia.org/wiki/Giants_Stadium
2000.0,79469,https://en.wikipedia.org/wiki/Giants_Stadium
2001.0,79469,https://en.wikipedia.org/wiki/Giants_Stadium
2002.0,80242,https://en.wikipedia.org/wiki/Giants_Stadium
2003.0,80242,https://en.wikipedia.org/wiki/Giants_Stadium
2004.0,80242,https://en.wikipedia.org/wiki/Giants_Stadium
2005.0,80242,https://en.wikipedia.org/wiki/Giants_Stadium
2006.0,80242,https://en.wikipedia.org/wiki/Giants_Stadium
2007.0,80242,https://en.wikipedia.org/wiki/Giants_Stadium
2008.0,80242,https://en.wikipedia.org/wiki/Giants_Stadium
2009.0,80242,https://en.wikipedia.org/wiki/Giants_Stadium
2010.0,80242,https://en.wikipedia.org/wiki/Giants_Stadium
1992.0,60586,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1993.0,60586,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1994.0,60586,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1995.0,60586,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1996.0,65248,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1997.0,65248,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore)
1992.0,60389,https://en.wikipedia.org/wiki/Cinergy_Field
1993.0,60389,https://en.wikipedia.org/wiki/Cinergy_Field
1994.0,60389,https://en.wikipedia.org/wiki/Cinergy_Field
1995.0,60389,https://en.wikipedia.org/wiki/Cinergy_Field
1996.0,60389,https://en.wikipedia.org/wiki/Cinergy_Field
1997.0,60389,https://en.wikipedia.org/wiki/Cinergy_Field
1998.0,60389,https://en.wikipedia.org/wiki/Cinergy_Field
1999.0,60389,https://en.wikipedia.org/wiki/Cinergy_Field
1992.0,78512,https://en.wikipedia.org/wiki/Cleveland_Stadium
1993.0,78512,https://en.wikipedia.org/wiki/Cleveland_Stadium
1994.0,78512,https://en.wikipedia.org/wiki/Cleveland_Stadium
1995.0,78512,https://en.wikipedia.org/wiki/Cleveland_Stadium
1992.0,59600,https://en.wikipedia.org/wiki/Three_Rivers_Stadium
1993.0,59600,https://en.wikipedia.org/wiki/Three_Rivers_Stadium
1994.0,59600,https://en.wikipedia.org/wiki/Three_Rivers_Stadium
1995.0,59600,https://en.wikipedia.org/wiki/Three_Rivers_Stadium
1996.0,59600,https://en.wikipedia.org/wiki/Three_Rivers_Stadium
1997.0,59600,https://en.wikipedia.org/wiki/Three_Rivers_Stadium
1998.0,59600,https://en.wikipedia.org/wiki/Three_Rivers_Stadium
1999.0,59600,https://en.wikipedia.org/wiki/Three_Rivers_Stadium
2000.0,59600,https://en.wikipedia.org/wiki/Three_Rivers_Stadium
1995.0,73000,https://en.wikipedia.org/wiki/TIAA_Bank_Field
1996.0,73000,https://en.wikipedia.org/wiki/TIAA_Bank_Field
1997.0,73000,https://en.wikipedia.org/wiki/TIAA_Bank_Field
1998.0,73000,https://en.wikipedia.org/wiki/TIAA_Bank_Field
1999.0,73000,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2000.0,73000,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2001.0,73000,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2003.0,76877,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2004.0,76877,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2005.0,67164,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2006.0,67164,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2007.0,67164,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2008.0,67164,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2009.0,67164,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2010.0,67246,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2011.0,67246,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2012.0,67246,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2013.0,67246,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2014.0,67297,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2015.0,66851,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2016.0,64428,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2017.0,64428,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2018.0,67814,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2019.0,67814,https://en.wikipedia.org/wiki/TIAA_Bank_Field
2020.0,67814,https://en.wikipedia.org/wiki/TIAA_Bank_Field
1992.0,62021,https://en.wikipedia.org/wiki/Reliant_Astrodome
1993.0,62021,https://en.wikipedia.org/wiki/Reliant_Astrodome
1994.0,62021,https://en.wikipedia.org/wiki/Reliant_Astrodome
1995.0,59969,https://en.wikipedia.org/wiki/Reliant_Astrodome
1996.0,59969,https://en.wikipedia.org/wiki/Reliant_Astrodome
1997.0,59969,https://en.wikipedia.org/wiki/Reliant_Astrodome
1998.0,59969,https://en.wikipedia.org/wiki/Reliant_Astrodome
